Date,GoogleIndex,MovieTitle,Studio
2018-10-31,4,Ralph Breaks the Internet,BV
2018-11-01,5,Ralph Breaks the Internet,BV
2018-11-02,5,Ralph Breaks the Internet,BV
2018-11-03,5,Ralph Breaks the Internet,BV
2018-11-04,7,Ralph Breaks the Internet,BV
2018-11-05,7,Ralph Breaks the Internet,BV
2018-11-06,6,Ralph Breaks the Internet,BV
2018-11-07,6,Ralph Breaks the Internet,BV
2018-11-08,7,Ralph Breaks the Internet,BV
2018-11-09,9,Ralph Breaks the Internet,BV
2018-11-10,10,Ralph Breaks the Internet,BV
2018-11-11,8,Ralph Breaks the Internet,BV
2018-11-12,8,Ralph Breaks the Internet,BV
2018-11-13,11,Ralph Breaks the Internet,BV
2018-11-14,12,Ralph Breaks the Internet,BV
2018-11-15,14,Ralph Breaks the Internet,BV
2018-11-16,20,Ralph Breaks the Internet,BV
2018-11-17,24,Ralph Breaks the Internet,BV
2018-11-18,25,Ralph Breaks the Internet,BV
2018-11-19,35,Ralph Breaks the Internet,BV
2018-11-20,61,Ralph Breaks the Internet,BV
2018-11-21,60,Ralph Breaks the Internet,BV
2018-11-22,82,Ralph Breaks the Internet,BV
2018-11-23,100,Ralph Breaks the Internet,BV
2018-11-24,87,Ralph Breaks the Internet,BV
2018-11-25,45,Ralph Breaks the Internet,BV
2018-11-26,34,Ralph Breaks the Internet,BV
2018-11-27,34,Ralph Breaks the Internet,BV
2018-10-31,2,Creed II,MGM
2018-11-01,2,Creed II,MGM
2018-11-02,2,Creed II,MGM
2018-11-03,2,Creed II,MGM
2018-11-04,2,Creed II,MGM
2018-11-05,1,Creed II,MGM
2018-11-06,2,Creed II,MGM
2018-11-07,3,Creed II,MGM
2018-11-08,3,Creed II,MGM
2018-11-09,3,Creed II,MGM
2018-11-10,4,Creed II,MGM
2018-11-11,3,Creed II,MGM
2018-11-12,4,Creed II,MGM
2018-11-13,4,Creed II,MGM
2018-11-14,5,Creed II,MGM
2018-11-15,9,Creed II,MGM
2018-11-16,11,Creed II,MGM
2018-11-17,9,Creed II,MGM
2018-11-18,12,Creed II,MGM
2018-11-19,39,Creed II,MGM
2018-11-20,59,Creed II,MGM
2018-11-21,66,Creed II,MGM
2018-11-22,86,Creed II,MGM
2018-11-23,100,Creed II,MGM
2018-11-24,78,Creed II,MGM
2018-11-25,35,Creed II,MGM
2018-11-26,32,Creed II,MGM
2018-11-27,31,Creed II,MGM
2018-10-31,23,Dr Seuss The Grinch 2018,Uni.
